"icd10cm","icd10cm_str","phecode","phecode_str","exclude_range","exclude_name","leaf","rollup"
"S01.119D","Laceration without foreign body of unspecified eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.62","Penetrating wound without foreign body of left eyeball","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.139D","Puncture wound without foreign body of unspecified eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.13","Puncture wound without foreign body of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.121","Laceration with foreign body of right eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.71XS","Avulsion of right eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.6","Penetrating wound without foreign body of eyeball","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.109D","Unspecified open wound of unspecified eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.31XA","Ocular laceration without prolapse or loss of intraocular tissue, right eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.131A","Puncture wound without foreign body of right eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.32","Ocular laceration without prolapse or loss of intraocular tissue, left eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.30","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.21XD","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.62XS","Penetrating wound without foreign body of left eyeball, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.70XA","Avulsion of unspecified eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.62XD","Penetrating wound without foreign body of left eyeball, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.111A","Laceration without foreign body of right eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.62XA","Penetrating wound without foreign body of left eyeball, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.71XD","Avulsion of right eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.149D","Puncture wound with foreign body of unspecified eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.31XS","Ocular laceration without prolapse or loss of intraocular tissue, right eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.15","Open bite of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.149","Puncture wound with foreign body of unspecified eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.60XS","Penetrating wound without foreign body of unspecified eyeball, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.121D","Laceration with foreign body of right eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.131S","Puncture wound without foreign body of right eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.70XD","Avulsion of unspecified eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.102A","Unspecified open wound of left eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.30XD","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.139A","Puncture wound without foreign body of unspecified eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"Y65.0","Mismatched blood in transfusion","942","Infusion and transfusion reaction","930-949.99","injuries & poisonings","1","1"
"R50.84","Febrile nonhemolytic transfusion reaction","942","Infusion and transfusion reaction","930-949.99","injuries & poisonings","1","1"
"J95.84","Transfusion-related acute lung injury (TRALI)","942","Infusion and transfusion reaction","930-949.99","injuries & poisonings","1","1"
"E87.71","Transfusion associated circulatory overload","942","Infusion and transfusion reaction","930-949.99","injuries & poisonings","1","1"
"C78.3","Secondary malignant neoplasm of other and unspecified respiratory organs","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.2","Secondary malignant neoplasm of pleura","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.02","Secondary malignant neoplasm of left lung","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.39","Secondary malignant neoplasm of other respiratory organs","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.1","Secondary malignant neoplasm of mediastinum","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.00","Secondary malignant neoplasm of unspecified lung","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.30","Secondary malignant neoplasm of unspecified respiratory organ","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.0","Secondary malignant neoplasm of lung","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"C78.01","Secondary malignant neoplasm of right lung","198.2","Secondary malignancy of respiratory organs","195-199.99","neoplasms","1","1"
"I44.6","Other and unspecified fascicular block","426.32","Left bundle branch block","426-427.99","circulatory system","1","1"
"I44.4","Left anterior fascicular block","426.32","Left bundle branch block","426-427.99","circulatory system","1","1"
"I44.60","Unspecified fascicular block","426.32","Left bundle branch block","426-427.99","circulatory system","1","1"
"I44.5","Left posterior fascicular block","426.32","Left bundle branch block","426-427.99","circulatory system","1","1"
"I44.69","Other fascicular block","426.32","Left bundle branch block","426-427.99","circulatory system","1","1"
"I44.7","Left bundle-branch block, unspecified","426.32","Left bundle branch block","426-427.99","circulatory system","1","1"
"I65.0","Occlusion and stenosis of vertebral artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.9","Occlusion and stenosis of unspecified precerebral artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.23","Occlusion and stenosis of bilateral carotid arteries","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.03","Occlusion and stenosis of bilateral vertebral arteries","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.01","Occlusion and stenosis of right vertebral artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.2","Occlusion and stenosis of carotid artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.09","Occlusion and stenosis of unspecified vertebral artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.21","Occlusion and stenosis of right carotid artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.8","Occlusion and stenosis of other precerebral arteries","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.02","Occlusion and stenosis of left vertebral artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.29","Occlusion and stenosis of unspecified carotid artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.1","Occlusion and stenosis of basilar artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"I65.22","Occlusion and stenosis of left carotid artery","433.1","Occlusion and stenosis of precerebral arteries","430-438.99","circulatory system","0","1"
"T58.14XD","Toxic effect of carbon monoxide from utility gas, undetermined, subsequent encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.8X3D","Toxic effect of carbon monoxide from other source, assault, subsequent encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.8X2D","Toxic effect of carbon monoxide from other source, intentional self-harm, subsequent encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2X4D","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, undetermined, subsequent encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.04XD","Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined, subsequent encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.11XS","Toxic effect of carbon monoxide from utility gas, accidental (unintentional), sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.02","Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.11XA","Toxic effect of carbon monoxide from utility gas, accidental (unintentional), initial encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2X3S","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, assault, sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.03XS","Toxic effect of carbon monoxide from motor vehicle exhaust, assault, sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.01XS","Toxic effect of carbon monoxide from motor vehicle exhaust, accidental (unintentional), sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58","Toxic effect of carbon monoxide","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.13","Toxic effect of carbon monoxide from utility gas, assault","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.8X1","Toxic effect of carbon monoxide from other source, accidental (unintentional)","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.8X4A","Toxic effect of carbon monoxide from other source, undetermined, initial encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.92XA","Toxic effect of carbon monoxide from unspecified source, intentional self-harm, initial encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2X1A","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional), initial encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.1","Toxic effect of carbon monoxide from utility gas","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.94XD","Toxic effect of carbon monoxide from unspecified source, undetermined, subsequent encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.91XS","Toxic effect of carbon monoxide from unspecified source, accidental (unintentional), sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.94XA","Toxic effect of carbon monoxide from unspecified source, undetermined, initial encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.0","Toxic effect of carbon monoxide from motor vehicle exhaust","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.02XS","Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2X","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.92XS","Toxic effect of carbon monoxide from unspecified source, intentional self-harm, sequela","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2X4A","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, undetermined, initial encounter","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
"T58.2X1","Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional)","986","Toxic effect of carbon monoxide","981-989.99","injuries & poisonings","1","1"
